2025-01-20 15:13:27 - INFO - SHIP_ID=T20231107001 | OP_INDEX=324 | SECTION=0 | START_TIME=2024-06-21 08:54:57 | LOG_ENTRY=The op_type is deballast | TYPE=preprocessing | IS_PROCESSED=False
2025-01-20 15:13:38 - INFO - SHIP_ID=T20231107001 | OP_INDEX=347 | SECTION=0 | START_TIME=2024-07-07 10:17:06 | LOG_ENTRY=The data length is 4 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:38 - INFO - SHIP_ID=T20231107001 | OP_INDEX=348 | SECTION=0 | START_TIME=2024-07-07 10:22:12 | LOG_ENTRY=The data length is 8 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:38 - INFO - SHIP_ID=T20231107001 | OP_INDEX=349 | SECTION=0 | START_TIME=2024-07-07 11:02:08 | LOG_ENTRY=The data length is 6 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:39 - INFO - SHIP_ID=T20231107001 | OP_INDEX=351 | SECTION=0 | START_TIME=2024-07-07 11:08:57 | LOG_ENTRY=The op_type is deballast | TYPE=preprocessing | IS_PROCESSED=False
2025-01-20 15:13:39 - INFO - SHIP_ID=T20231107001 | OP_INDEX=352 | SECTION=0 | START_TIME=2024-07-07 15:35:43 | LOG_ENTRY=The data length is 14 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:39 - INFO - SHIP_ID=T20231107001 | OP_INDEX=353 | SECTION=0 | START_TIME=2024-07-07 15:49:06 | LOG_ENTRY=The op_type is deballast | TYPE=preprocessing | IS_PROCESSED=False
2025-01-20 15:13:40 - INFO - SHIP_ID=T20231107001 | OP_INDEX=354 | SECTION=0 | START_TIME=2024-07-07 20:42:57 | LOG_ENTRY=The data length is 2 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:40 - INFO - SHIP_ID=T20231107001 | OP_INDEX=355 | SECTION=0 | START_TIME=2024-07-07 20:45:42 | LOG_ENTRY=The data length is 156 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:40 - INFO - SHIP_ID=T20231107001 | OP_INDEX=356 | SECTION=0 | START_TIME=2024-07-08 00:13:49 | LOG_ENTRY=The data length is 8 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:40 - INFO - SHIP_ID=T20231107001 | OP_INDEX=357 | SECTION=0 | START_TIME=2024-07-08 00:23:37 | LOG_ENTRY=The data length is 4 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:40 - INFO - SHIP_ID=T20231107001 | OP_INDEX=358 | SECTION=0 | START_TIME=2024-07-08 00:36:19 | LOG_ENTRY=The data length is 8 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:41 - INFO - SHIP_ID=T20231107001 | OP_INDEX=359 | SECTION=0 | START_TIME=2024-07-08 01:50:59 | LOG_ENTRY=The data length is 11 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:41 - INFO - SHIP_ID=T20231107001 | OP_INDEX=360 | SECTION=0 | START_TIME=2024-07-08 02:03:06 | LOG_ENTRY=The data length is 11 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:41 - INFO - SHIP_ID=T20231107001 | OP_INDEX=361 | SECTION=0 | START_TIME=2024-07-08 02:14:47 | LOG_ENTRY=The data length is 13 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:41 - INFO - SHIP_ID=T20231107001 | OP_INDEX=362 | SECTION=0 | START_TIME=2024-07-08 02:28:28 | LOG_ENTRY=The data length is 51 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:42 - INFO - SHIP_ID=T20231107001 | OP_INDEX=363 | SECTION=0 | START_TIME=2024-07-08 03:19:57 | LOG_ENTRY=The data length is 6 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:42 - INFO - SHIP_ID=T20231107001 | OP_INDEX=364 | SECTION=0 | START_TIME=2024-07-08 03:26:45 | LOG_ENTRY=The data length is 6 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:42 - INFO - SHIP_ID=T20231107001 | OP_INDEX=365 | SECTION=0 | START_TIME=2024-07-08 03:33:28 | LOG_ENTRY=The data length is 6 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:42 - INFO - SHIP_ID=T20231107001 | OP_INDEX=366 | SECTION=0 | START_TIME=2024-07-08 03:40:32 | LOG_ENTRY=The data length is 5 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:43 - INFO - SHIP_ID=T20231107001 | OP_INDEX=367 | SECTION=0 | START_TIME=2024-07-08 03:46:48 | LOG_ENTRY=The data length is 11 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:43 - INFO - SHIP_ID=T20231107001 | OP_INDEX=368 | SECTION=0 | START_TIME=2024-07-08 03:58:31 | LOG_ENTRY=The data length is 6 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:43 - INFO - SHIP_ID=T20231107001 | OP_INDEX=369 | SECTION=0 | START_TIME=2024-07-08 04:05:13 | LOG_ENTRY=The data length is 6 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:43 - INFO - SHIP_ID=T20231107001 | OP_INDEX=370 | SECTION=0 | START_TIME=2024-07-08 04:12:15 | LOG_ENTRY=The data length is 6 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:43 - INFO - SHIP_ID=T20231107001 | OP_INDEX=371 | SECTION=0 | START_TIME=2024-07-08 04:19:15 | LOG_ENTRY=The data length is 3 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:44 - INFO - SHIP_ID=T20231107001 | OP_INDEX=372 | SECTION=0 | START_TIME=2024-07-08 04:22:43 | LOG_ENTRY=The data length is 8 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:44 - INFO - SHIP_ID=T20231107001 | OP_INDEX=373 | SECTION=0 | START_TIME=2024-07-08 04:31:26 | LOG_ENTRY=The data length is 6 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:44 - INFO - SHIP_ID=T20231107001 | OP_INDEX=374 | SECTION=0 | START_TIME=2024-07-08 04:38:28 | LOG_ENTRY=The data length is 6 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:44 - INFO - SHIP_ID=T20231107001 | OP_INDEX=375 | SECTION=0 | START_TIME=2024-07-08 04:45:28 | LOG_ENTRY=The data length is 6 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:45 - INFO - SHIP_ID=T20231107001 | OP_INDEX=376 | SECTION=0 | START_TIME=2024-07-08 04:52:25 | LOG_ENTRY=The data length is 8 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:45 - INFO - SHIP_ID=T20231107001 | OP_INDEX=377 | SECTION=0 | START_TIME=2024-07-08 05:01:06 | LOG_ENTRY=The data length is 6 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:45 - INFO - SHIP_ID=T20231107001 | OP_INDEX=378 | SECTION=0 | START_TIME=2024-07-08 05:08:09 | LOG_ENTRY=The data length is 3 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:45 - INFO - SHIP_ID=T20231107001 | OP_INDEX=379 | SECTION=0 | START_TIME=2024-07-08 05:11:37 | LOG_ENTRY=The data length is 5 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:46 - INFO - SHIP_ID=T20231107001 | OP_INDEX=380 | SECTION=0 | START_TIME=2024-07-08 05:17:18 | LOG_ENTRY=The data length is 6 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:46 - INFO - SHIP_ID=T20231107001 | OP_INDEX=381 | SECTION=0 | START_TIME=2024-07-08 05:24:14 | LOG_ENTRY=The data length is 6 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:46 - INFO - SHIP_ID=T20231107001 | OP_INDEX=382 | SECTION=0 | START_TIME=2024-07-08 05:31:11 | LOG_ENTRY=The data length is 6 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:46 - INFO - SHIP_ID=T20231107001 | OP_INDEX=383 | SECTION=0 | START_TIME=2024-07-08 05:38:17 | LOG_ENTRY=The data length is 6 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:47 - INFO - SHIP_ID=T20231107001 | OP_INDEX=384 | SECTION=0 | START_TIME=2024-07-08 05:44:55 | LOG_ENTRY=The data length is 6 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:47 - INFO - SHIP_ID=T20231107001 | OP_INDEX=385 | SECTION=0 | START_TIME=2024-07-08 05:52:05 | LOG_ENTRY=The data length is 9 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:47 - INFO - SHIP_ID=T20231107001 | OP_INDEX=386 | SECTION=0 | START_TIME=2024-07-08 06:02:35 | LOG_ENTRY=The data length is 8 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:47 - INFO - SHIP_ID=T20231107001 | OP_INDEX=387 | SECTION=0 | START_TIME=2024-07-08 06:11:15 | LOG_ENTRY=The data length is 1 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:47 - INFO - SHIP_ID=T20231107001 | OP_INDEX=388 | SECTION=0 | START_TIME=2024-07-08 06:12:59 | LOG_ENTRY=The data length is 4 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:48 - INFO - SHIP_ID=T20231107001 | OP_INDEX=389 | SECTION=0 | START_TIME=2024-07-08 06:17:54 | LOG_ENTRY=The data length is 2 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:48 - INFO - SHIP_ID=T20231107001 | OP_INDEX=390 | SECTION=0 | START_TIME=2024-07-08 06:20:32 | LOG_ENTRY=The data length is 6 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:48 - INFO - SHIP_ID=T20231107001 | OP_INDEX=391 | SECTION=0 | START_TIME=2024-07-08 06:27:39 | LOG_ENTRY=The data length is 4 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:48 - INFO - SHIP_ID=T20231107001 | OP_INDEX=392 | SECTION=0 | START_TIME=2024-07-08 06:32:03 | LOG_ENTRY=The data length is 5 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:49 - INFO - SHIP_ID=T20231107001 | OP_INDEX=393 | SECTION=0 | START_TIME=2024-07-08 06:37:30 | LOG_ENTRY=The data length is 1 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:49 - INFO - SHIP_ID=T20231107001 | OP_INDEX=394 | SECTION=0 | START_TIME=2024-07-08 06:38:57 | LOG_ENTRY=The data length is 4 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:49 - INFO - SHIP_ID=T20231107001 | OP_INDEX=395 | SECTION=0 | START_TIME=2024-07-08 06:43:53 | LOG_ENTRY=The data length is 5 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:49 - INFO - SHIP_ID=T20231107001 | OP_INDEX=396 | SECTION=0 | START_TIME=2024-07-08 06:49:50 | LOG_ENTRY=The data length is 4 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:50 - INFO - SHIP_ID=T20231107001 | OP_INDEX=397 | SECTION=0 | START_TIME=2024-07-08 06:54:11 | LOG_ENTRY=The data length is 5 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:50 - INFO - SHIP_ID=T20231107001 | OP_INDEX=398 | SECTION=0 | START_TIME=2024-07-08 07:00:00 | LOG_ENTRY=The data length is 4 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:50 - INFO - SHIP_ID=T20231107001 | OP_INDEX=399 | SECTION=0 | START_TIME=2024-07-08 07:04:34 | LOG_ENTRY=The data length is 5 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:50 - INFO - SHIP_ID=T20231107001 | OP_INDEX=400 | SECTION=0 | START_TIME=2024-07-08 07:10:17 | LOG_ENTRY=The data length is 4 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:50 - INFO - SHIP_ID=T20231107001 | OP_INDEX=401 | SECTION=0 | START_TIME=2024-07-08 07:19:04 | LOG_ENTRY=The data length is 5 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:51 - INFO - SHIP_ID=T20231107001 | OP_INDEX=402 | SECTION=0 | START_TIME=2024-07-08 07:31:49 | LOG_ENTRY=The data length is 9 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:51 - INFO - SHIP_ID=T20231107001 | OP_INDEX=404 | SECTION=0 | START_TIME=2024-07-08 07:42:35 | LOG_ENTRY=The data length is 11 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:51 - INFO - SHIP_ID=T20231107001 | OP_INDEX=405 | SECTION=0 | START_TIME=2024-07-08 07:59:33 | LOG_ENTRY=The data length is 11 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:51 - INFO - SHIP_ID=T20231107001 | OP_INDEX=406 | SECTION=0 | START_TIME=2024-07-08 08:12:12 | LOG_ENTRY=The data length is 11 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:52 - INFO - SHIP_ID=T20231107001 | OP_INDEX=407 | SECTION=0 | START_TIME=2024-07-08 08:26:54 | LOG_ENTRY=The data length is 11 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:52 - INFO - SHIP_ID=T20231107001 | OP_INDEX=408 | SECTION=0 | START_TIME=2024-07-08 08:38:57 | LOG_ENTRY=The data length is 11 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:52 - INFO - SHIP_ID=T20231107001 | OP_INDEX=409 | SECTION=0 | START_TIME=2024-07-08 09:01:15 | LOG_ENTRY=The data length is 93 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:52 - INFO - SHIP_ID=T20231107001 | OP_INDEX=410 | SECTION=0 | START_TIME=2024-07-14 08:20:39 | LOG_ENTRY=The data length is 13 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:53 - INFO - SHIP_ID=T20231107001 | OP_INDEX=411 | SECTION=0 | START_TIME=2024-07-15 22:48:29 | LOG_ENTRY=The data length is 29 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:55 - INFO - SHIP_ID=T20231107001 | OP_INDEX=412 | SECTION=0 | START_TIME=2024-07-16 09:57:36 | LOG_ENTRY=The results were derived from the model and statistics package | TYPE=all | IS_PROCESSED=True
2025-01-20 15:13:55 - INFO - SHIP_ID=T20231107001 | OP_INDEX=412 | SECTION=0 | START_TIME=2024-07-16 09:57:36 | LOG_ENTRY=apply_calculating_rate_change() takes 1 positional argument but 2 were given | TYPE=exceptional_handling | IS_PROCESSED=False
2025-01-20 15:13:57 - INFO - SHIP_ID=T20231107001 | OP_INDEX=413 | SECTION=0 | START_TIME=2024-07-16 09:57:36 | LOG_ENTRY=The results were derived from the model and statistics package | TYPE=all | IS_PROCESSED=True
2025-01-20 15:13:57 - INFO - SHIP_ID=T20231107001 | OP_INDEX=413 | SECTION=0 | START_TIME=2024-07-16 09:57:36 | LOG_ENTRY=apply_calculating_rate_change() takes 1 positional argument but 2 were given | TYPE=exceptional_handling | IS_PROCESSED=False
2025-01-20 15:13:58 - INFO - SHIP_ID=T20231107001 | OP_INDEX=414 | SECTION=0 | START_TIME=2024-07-16 16:36:40 | LOG_ENTRY=The data length is 154 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:58 - INFO - SHIP_ID=T20231107001 | OP_INDEX=415 | SECTION=0 | START_TIME=2024-07-16 16:36:40 | LOG_ENTRY=The data length is 154 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:58 - INFO - SHIP_ID=T20231107001 | OP_INDEX=416 | SECTION=0 | START_TIME=2024-07-16 19:12:42 | LOG_ENTRY=The data length is 25 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:58 - INFO - SHIP_ID=T20231107001 | OP_INDEX=417 | SECTION=0 | START_TIME=2024-07-16 21:10:32 | LOG_ENTRY=The data length is 6 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:59 - INFO - SHIP_ID=T20231107001 | OP_INDEX=418 | SECTION=0 | START_TIME=2024-07-16 21:17:22 | LOG_ENTRY=The data length is 27 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:59 - INFO - SHIP_ID=T20231107001 | OP_INDEX=419 | SECTION=0 | START_TIME=2024-07-16 21:52:19 | LOG_ENTRY=The data length is 6 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:59 - INFO - SHIP_ID=T20231107001 | OP_INDEX=420 | SECTION=0 | START_TIME=2024-07-16 22:10:50 | LOG_ENTRY=The data length is 34 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:59 - INFO - SHIP_ID=T20231108006 | OP_INDEX=1 | SECTION=0 | START_TIME=2024-02-16 23:51:35 | LOG_ENTRY=The data length is 159 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:59 - INFO - SHIP_ID=T20231108006 | OP_INDEX=2 | SECTION=0 | START_TIME=2024-02-17 02:34:33 | LOG_ENTRY=The data length is 40 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:14:00 - INFO - SHIP_ID=T20231108006 | OP_INDEX=3 | SECTION=0 | START_TIME=2024-02-17 03:42:35 | LOG_ENTRY=The data length is 39 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:14:00 - INFO - SHIP_ID=T20231108006 | OP_INDEX=4 | SECTION=0 | START_TIME=2024-02-17 04:33:29 | LOG_ENTRY=The data length is 11 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:14:00 - INFO - SHIP_ID=T20231108006 | OP_INDEX=5 | SECTION=0 | START_TIME=2024-02-27 01:50:25 | LOG_ENTRY=The data length is 36 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:14:00 - INFO - SHIP_ID=T20231108006 | OP_INDEX=6 | SECTION=0 | START_TIME=2024-03-01 19:57:28 | LOG_ENTRY=The data length is 50 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:14:01 - INFO - SHIP_ID=T20231108006 | OP_INDEX=7 | SECTION=0 | START_TIME=2024-03-01 22:53:12 | LOG_ENTRY=The data length is 19 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:14:01 - INFO - SHIP_ID=T20231108006 | OP_INDEX=8 | SECTION=0 | START_TIME=2024-03-02 00:38:43 | LOG_ENTRY=The data length is 6 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:14:01 - INFO - SHIP_ID=T20231108006 | OP_INDEX=9 | SECTION=0 | START_TIME=2024-03-02 03:25:16 | LOG_ENTRY=The data length is 30 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:14:03 - INFO - SHIP_ID=T20231108006 | OP_INDEX=10 | SECTION=0 | START_TIME=2024-03-02 04:16:54 | LOG_ENTRY=The results were derived from the model and statistics package | TYPE=all | IS_PROCESSED=True
2025-01-20 15:14:03 - INFO - SHIP_ID=T20231108006 | OP_INDEX=10 | SECTION=0 | START_TIME=2024-03-02 04:16:54 | LOG_ENTRY=apply_calculating_rate_change() takes 1 positional argument but 2 were given | TYPE=exceptional_handling | IS_PROCESSED=False
2025-01-20 15:14:04 - INFO - SHIP_ID=T20231108006 | OP_INDEX=11 | SECTION=0 | START_TIME=2024-03-02 07:26:37 | LOG_ENTRY=The data length is 4 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
